ID,q,temp_ratio,omega,r1,r2,i,l1frac,f
CSS_J011848.4+132107,0.110,0.975,1.940,0.594,0.237,89.6,0.883,0.68
CSS_J015301.5+223638,0.200,1.026,2.186,0.539,0.269,80.0,0.782,0.36
CSS_J021552.4+324419,0.110,0.920,1.971,0.580,0.221,79.3,0.909,0.25
CSS_J022044.4+280006,0.150,0.944,2.063,0.563,0.249,84.7,0.870,0.41
CSS_J030702.2+261521,0.090,0.952,1.903,0.599,0.213,81.2,0.910,0.42
CSS_J051156.6+011756,0.150,0.925,2.072,0.560,0.245,83.1,0.882,0.32
CSS_J075839.9+131355,0.070,0.869,1.834,0.621,0.203,70.0,0.947,0.61
CSS_J075848.2+125656,0.080,0.974,1.870,0.609,0.207,81.0,0.909,0.48
CSS_J080724.7+164610,0.150,1.006,2.058,0.565,0.251,88.5,0.836,0.46
CSS_J082140.8+192034,0.100,0.966,1.921,0.597,0.226,75.1,0.891,0.59
CSS_J082850.5+015641,0.180,1.001,2.132,0.550,0.265,85.7,0.816,0.44
CSS_J082916.5+131557,0.190,1.037,2.158,0.545,0.267,83.3,0.786,0.41
CSS_J084222.2+041155,0.130,1.016,2.000,0.579,0.245,79.5,0.845,0.56
CSS_J210300.1+050345,0.100,0.912,1.937,0.590,0.217,82.8,0.917,0.34
CSS_J211420.2-142710,0.110,1.126,1.976,0.578,0.218,74.3,0.814,0.18
CSS_J233821.8+200518,0.220,1.003,2.236,0.531,0.275,86.3,0.790,0.33
CSS_J234145.7+233158,0.090,1.000,1.882,0.610,0.226,77.7,0.884,0.78
CSS_J234324.8+211100,0.110,0.994,1.941,0.594,0.237,80.6,0.870,0.68
CSS_J234807.2+193717,0.180,1.044,2.137,0.551,0.265,87.9,0.786,0.40