ID,RA_2000,Dec_2000,EpochHJD,Period,Vmax,sigma_mag,N_obs
CSS_J011848.4+132107,01:18:48.49,+13:21:07.6,6589.79386,0.3439788,13.21,0.01,300
CSS_J015301.5+223638,01:53:01.55,+22:36:38.4,3653.82712,0.2594140,15.92,0.03,274
CSS_J021552.4+324419,02:15:52.41,+32:44:19.5,5120.91902,0.5737980,14.68,0.02,350
CSS_J022044.4+280006,02:20:44.42,+28:00:06.1,4405.81533,0.7593753,14.42,0.02,356
CSS_J030702.2+261521,03:07:02.24,+26:15:21.8,5648.62161,0.7283894,13.98,0.02,374
CSS_J051156.6+011756,05:11:56.63,+01:17:56.5,3703.75981,0.7527221,14.82,0.02,351
CSS_J075839.9+131355,07:58:39.98,+13:13:55.7,6358.70319,0.4620180,14.88,0.02,293
CSS_J075848.2+125656,07:58:48.24,+12:56:56.1,4922.69449,0.3499800,14.08,0.02,293
CSS_J080724.7+164610,08:07:24.78,+16:46:10.6,5211.84350,0.3629629,14.39,0.02,415
CSS_J082140.8+192034,08:21:40.85,+19:20:34.5,5240.76455,0.4323400,15.15,0.02,528
CSS_J082850.5+015641,08:28:50.52,+01:56:41.1,5301.61530,0.4886486,13.37,0.01,346
CSS_J082916.5+131557,08:29:16.54,+13:15:57.6,5321.64675,0.3729305,13.98,0.02,438
CSS_J084222.2+041155,08:42:22.24,+04:11:55.5,4588.65898,0.2809483,15.67,0.03,381
CSS_J093010.1-021624,09:30:10.15,-02:16:24.9,5240.80316,0.3214746,15.56,0.03,318
CSS_J210300.1+050345,21:03:00.14,+05:03:45.6,4235.88388,0.5921606,13.90,0.01,387
CSS_J211420.2-142710,21:14:20.28,-14:27:10.8,5530.59888,0.5981238,15.32,0.02,297
CSS_J233821.8+200518,23:38:21.81,+20:05:18.2,6167.79999,0.3545902,13.23,0.01,324
CSS_J234145.7+233158,23:41:45.73,+23:31:58.6,4391.81504,0.5986466,13.91,0.01,309
CSS_J234324.8+211100,23:43:24.84,+21:11:00.4,5585.57623,0.6310680,14.50,0.02,332
CSS_J234807.2+193717,23:48:07.21,+19:37:17.8,5590.60823,0.3800130,15.46,0.03,331